Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
rebelution-t-shirt-size-large,REBELUTION T-SHIRT (Size: Large),"<h4>Limited edition REBELUTION T-Shirt, screen-printed by hand: </h4>
<meta charset=""utf-8"">
<p><span style=""color: #cc0000;""><b>Unisex, SIZE LARGE</b></span></p>
<p>The physical release of REBELUTION's first EP is by t-shirt, exclusively designed and hand-printed by the collective of young artists. All 100 tees were hand-printed by young designer Richy Sayers, in collaboration with S.O.O.N clothing at the Art In Transit studio. Wear the artwork, join the family, spread the word!</p>
<p>&lt;&lt; Only 100 made, on sale at Art Against Knives, get in quick! &gt;&gt;</p>
<ul>
<li>Screen-printed by hand, 100% cotton</li>
<li>Limited edition of 100 only.</li>
<li>Every purchase comes with the full EP to download.</li>
</ul>
<p>The decision to release the REBELUTION EP by tee was a natural one for the collective, following in footsteps including Prince, Mos Def and On Montreal and inspired by friends at indie label Polka Dot.</p>
<p>CDs and vinyl live on shelves and sit still, but the REBELUTION message is made to be free - roaming the streets of London and beyond. The group wanted give friends and fans something beautiful and useful, whilst giving the brand legs.</p>
<p>REBELUTION is a fresh young collective from London with a unique sound: led by hip-hop, shaped by grime, trap, RnB,acoustic, pop, rock and whatever else moves them.</p>
The collective was formed during the On_TRACK music programme we run in Barnet, North London where 15 young people they threw hearts and talents into creating their first EP with the support of creative professionals and Role Models. All proceeds from sales go directly back into ART AGAINST KNIVES Charity to fund studio time for the collective.",Art Against Knives Gallery,T-Shirt,"silk screen print, T-shirt",true,Title,Default Title,,,,,"",500,shopify,20,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONtee600x450_78039caa-a530-4538-b31d-7f9b87461937.jpg?v=1431533941,,false,,,,,,,,,,,,,,,,,kg
rebelution-t-shirt-size-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONFAM1STGIG_88852847-b1e5-4deb-8bf3-1f075995dc88.png?v=1431533941,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/11026130_850113145059749_8617193664672839970_n_8008c491-d029-4fe1-9eca-3e1cf287dc57.jpg?v=1431533941,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/richy_cef91bff-5b6a-47b6-9976-38ed5d7d397d.jpg?v=1431533941,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/GABESTUDIO800_0471ac72-aa0f-4e6f-b7a9-403794ab4b2a.png?v=1431533941,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-medium,REBELUTION T-SHIRT (Size: Medium),"<h4>Limited edition REBELUTION T-Shirt, screen-printed by hand: </h4>
<meta charset=""utf-8"">
<p><span style=""color: #cc0000;""><b>Unisex, SIZE MEDIUM</b></span></p>
<p>The physical release of REBELUTION's first EP is by t-shirt, exclusively designed and hand-printed by the collective of young artists. All 100 tees were hand-printed by young designer Richy Sayers, in collaboration with S.O.O.N clothing at the Art In Transit studio. Wear the artwork, join the family, spread the word!</p>
<p>&lt;&lt; Only 100 made, on sale at Art Against Knives, get in quick! &gt;&gt;</p>
<ul>
<li>Screen-printed by hand, 100% cotton</li>
<li>Limited edition of 100 only.</li>
<li>Every purchase comes with the full EP to download.</li>
</ul>
<p>The decision to release the REBELUTION EP by tee was a natural one for the collective, following in footsteps including Prince, Mos Def and On Montreal and inspired by friends at indie label Polka Dot.</p>
<p>CDs and vinyl live on shelves and sit still, but the REBELUTION message is made to be free - roaming the streets of London and beyond. The group wanted give friends and fans something beautiful and useful, whilst giving the brand legs.</p>
<p>REBELUTION is a fresh young collective from London with a unique sound: led by hip-hop, shaped by grime, trap, RnB,acoustic, pop, rock and whatever else moves them.</p>
The collective was formed during the On_TRACK music programme we run in Barnet, North London where 15 young people they threw hearts and talents into creating their first EP with the support of creative professionals and Role Models. All proceeds from sales go directly back into ART AGAINST KNIVES Charity to fund studio time for the collective.",Art Against Knives Gallery,T-Shirt,"silk screen print, T-shirt",true,Title,Default Title,,,,,"",0,shopify,10,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONtee600x450_e3605810-cd72-4b08-ae92-f5fcfeafd6b4.jpg?v=1431521442,,false,,,,,,,,,,,,,,,,,g
rebelution-t-shirt-size-medium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONFAM1STGIG_6f4bc5e3-28b1-4a11-a7a5-ec8a9cd2ee1e.png?v=1431521442,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-medium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/11026130_850113145059749_8617193664672839970_n_4ae27309-aceb-450e-8bd6-7e02e0fad2bc.jpg?v=1431521442,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-medium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/richy_16000433-07c1-4c03-a9e5-77e296098870.jpg?v=1431521442,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-medium,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/GABESTUDIO800_051cf77a-e2fd-4cf8-b51e-c9970fe90ca2.png?v=1431521442,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-small,REBELUTION T-SHIRT (Size: Small),"<h4>Limited edition REBELUTION T-Shirt, screen-printed by hand: </h4>
<meta charset=""utf-8"">
<p><span style=""color: #cc0000;""><b>Unisex, SIZE SMALL</b></span></p>
<p>The physical release of REBELUTION's first EP is by t-shirt, exclusively designed and hand-printed by the collective of young artists. All 100 tees were hand-printed by young designer Richy Sayers, in collaboration with S.O.O.N clothing at the Art In Transit studio. Wear the artwork, join the family, spread the word!</p>
<p>&lt;&lt; Only 100 made, on sale at Art Against Knives, get in quick! &gt;&gt;</p>
<ul>
<li>Screen-printed by hand, 100% cotton</li>
<li>Limited edition of 100 only.</li>
<li>Every purchase comes with the full EP to download.</li>
</ul>
<p>The decision to release the REBELUTION EP by tee was a natural one for the collective, following in footsteps including Prince, Mos Def and On Montreal and inspired by friends at indie label Polka Dot.</p>
<p>CDs and vinyl live on shelves and sit still, but the REBELUTION message is made to be free - roaming the streets of London and beyond. The group wanted give friends and fans something beautiful and useful, whilst giving the brand legs.</p>
<p>REBELUTION is a fresh young collective from London with a unique sound: led by hip-hop, shaped by grime, trap, RnB,acoustic, pop, rock and whatever else moves them.</p>
The collective was formed during the On_TRACK music programme we run in Barnet, North London where 15 young people they threw hearts and talents into creating their first EP with the support of creative professionals and Role Models. All proceeds from sales go directly back into ART AGAINST KNIVES Charity to fund studio time for the collective.",Art Against Knives Gallery,T-Shirt,"silk screen print, T-shirt",true,Title,Default Title,,,,,"",500,shopify,14,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONtee600x450.jpg?v=1431520816,,false,,,,,,,,,,,,,,,,,kg
rebelution-t-shirt-size-small,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONFAM1STGIG.png?v=1431520820,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-small,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/11026130_850113145059749_8617193664672839970_n.jpg?v=1431520821,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-small,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/richy.jpg?v=1431520822,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-small,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/GABESTUDIO800.png?v=1431520827,,,,,,,,,,,,,,,,,,,
limited-edition-white-secret-7-tee,"LIMITED EDITION WHITE SECRET 7"" TEE","<p>100% Cotton Unisex T Shirt</p>
<p>Screen Printed Secret 7"" Logo</p>
<p>Available in sizes S, M, L, XL</p>
<p>Limited Edition for Secret 7"" 2013, exclusive to ART AGAINST KNIVES GALLERY</p>
",Art Against Knives Gallery,T-Shirt,"",true,Size,Small,,,,,"",0,shopify,1,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/logo_W.jpg?v=1365697687,,false,,,,,,,,,,,,,,,,,oz
limited-edition-white-secret-7-tee,,,,,,,,Medium,,,,,"",0,shopify,0,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/White_T.jpg?v=1365697715,,,,,,,,,,,,,,,,,,,oz
limited-edition-white-secret-7-tee,,,,,,,,Large,,,,,"",0,shopify,1,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Side_W.jpg?v=1365697794,,,,,,,,,,,,,,,,,,,oz
limited-edition-white-secret-7-tee,,,,,,,,X Large,,,,,"",0,shopify,0,deny,manual,10.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
limited-edition-black-secret-7-tee,"LIMITED EDITION BLACK SECRET 7"" TEE","<p>100% Cotton Unisex T Shirt</p>
<p>Screen Printed Secret 7"" Logo</p>
<p>Available in sizes S, M, L, XL</p>
<p>Limited Edition for Secret 7"" 2013, exclusive to ART AGAINST KNIVES GALLERY</p>
",Art Against Knives Gallery,T-Shirt,"",true,Size,Small,,,,,"",0,,1,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3005.jpg?v=1365698144,,false,,,,,,,,,,,,,,,,,oz
limited-edition-black-secret-7-tee,,,,,,,,Medium,,,,,"",0,,1,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Black_T.jpg?v=1365698209,,,,,,,,,,,,,,,,,,,oz
limited-edition-black-secret-7-tee,,,,,,,,Large,,,,,"",0,,1,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Side_B.jpg?v=1365698231,,,,,,,,,,,,,,,,,,,oz
limited-edition-black-secret-7-tee,,,,,,,,X Large,,,,,"",0,,1,deny,manual,10.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
secret-7-limited-edition-print,"SECRET 7"" LIMITED EDITION PRINT","<p>Secret 7'' x Matt(H)Booth</p>
<div></div>
<div>7 colour visualisation screen print of the tracks featured in Secret 7'' 2013.</div>
<div>Hand stamped with the Secret 7'' logo.</div>
<div>Limited edition of 200. </div>
<div> </div>
<div>GFSmith A2 Naturalis absolute white matt 330gsm.</div>
<div>Printed at Print Club London.</div>
<div></div>","SECRET 7""",Print,SECRET 7,true,Title,"SECRET 7"" LIMITED EDITION PRINT",Size,A2,,,SECRET-001,0,shopify,19,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/aak_8.jpg?v=1365685945,,false,,,,,,,,,,,,,,,,,oz
secret-7-limited-edition-print,,,,,,,,FRAMED,,A2,,,"",0,shopify,19,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_011.jpg?v=1365686060,,,,,,,,,,,,,,,,,,,oz
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_013.jpg?v=1365686096,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_014.jpg?v=1365686140,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_016.jpg?v=1365686188,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_015.jpg?v=1365686229,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_017.jpg?v=1365687338,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_018.jpg?v=1365688919,,,,,,,,,,,,,,,,,,,
secret-7-limited-edition-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/AAK_019.jpg?v=1365688979,,,,,,,,,,,,,,,,,,,
flow-n-trees-leaves,FLOW N TREES - 'LEAVES',"<p><b></b></p>
<div><b>
  <div style=""display: inline !important; ""><span>
    <div style=""display: inline !important; ""><b>
      <p dir=""ltr"" style=""display: inline !important; ""><span></span></p>
    </b></div>
  </span></div>
</b></div>
<div>
  <div><span class=""Apple-style-span"" style=""font-weight: 800; ""><b>
    <p dir=""ltr"" style=""display: inline !important; ""><span>FLOW N TREES</span></p>
  </b></span></div>
  <div><b style=""font-weight: 800; "">
    <p dir=""ltr"" style=""display: inline !important; ""><span>BY LUKE ROGERS</span></p>
  </b>
    <div>
      <p dir=""ltr"">I have created by designs especially for an up-and coming young music group from Hackney- they make a wide range of music but are heavily influenced by hip-hop music. I am currently making a documentary about them which is about the rise of their mixtape and their journey and what they want to achieve as young talented people. </p>
      <p dir=""ltr""><span>I am currently on an creative digital media apprenticeship, where I get to learn a wide range of skills from graphic design to editing. I have big plans to launch my own brand, but by working and collaborating with other young people from Hackney I get the opportunity to start testing out my ideas and skills. In the future I would like to be successful in the creative industry- but I can’t really see myself going just one thing, I want to have a go at doing everything and hopefully I can be successful with it all!</span></p>
    </div>
  <br />
  </div>
</div>
<div>
  <div style=""font-weight: bold; ""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
  <div style=""font-weight: bold; ""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a>&nbsp;</span></div>
</div>
",DESIGN + MAKE,T-Shirt,"",true,Size,SMALL,,,,,SMALL,0,shopify,3,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/FLOW_N_TREES-_1.jpg?v=1365677638,,false,,,,,,,,,,,,,,,,,oz
flow-n-trees-leaves,,,,,,,,MEDIUM,,,,,MEDIUM,0,shopify,2,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
flow-n-trees-leaves,,,,,,,,LARGE,,,,,LARGE,0,shopify,2,deny,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
flow-n-trees-leaves,,,,,,,,XTRA LARGE,,,,,XTRA LARGE,0,shopify,1,deny,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
flow-n-trees-roots,FLOW N TREES - 'ROOTS',"<p><b></b></p>
<div><b>
  <div style=""display: inline !important; ""><span>
    <div style=""display: inline !important; ""><b>
      <p dir=""ltr"" style=""display: inline !important; ""><span></span></p>
    </b></div>
  </span></div>
</b></div>
<div>
  <div><span class=""Apple-style-span"" style=""font-weight: 800; ""><b>
    <p dir=""ltr"" style=""display: inline !important; ""><span>FLOW N TREES</span></p>
  </b></span></div>
  <div><b style=""font-weight: 800; "">
    <p dir=""ltr"" style=""display: inline !important; ""><span>BY LUKE ROGERS</span></p>
  </b>
    <div>
      <p dir=""ltr"">I have created by designs especially for an up-and coming young music group from Hackney- they make a wide range of music but are heavily influenced by hip-hop music. I am currently making a documentary about them which is about the rise of their mixtape and their journey and what they want to achieve as young talented people. </p>
      <p dir=""ltr""><span>I am currently on an creative digital media apprenticeship, where I get to learn a wide range of skills from graphic design to editing. I have big plans to launch my own brand, but by working and collaborating with other young people from Hackney I get the opportunity to start testing out my ideas and skills. In the future I would like to be successful in the creative industry- but I can’t really see myself going just one thing, I want to have a go at doing everything and hopefully I can be successful with it all!</span></p>
    </div>
  <br />
  </div>
</div>
<div>
  <div style=""font-weight: bold; ""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
  <div style=""font-weight: bold; ""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a>&nbsp;</span></div>
</div>
",DESIGN + MAKE,T-Shirt,"",true,Size,SMALL,,,,,SMALL,0,shopify,0,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Flow_and_Trees.jpg?v=1370258097,,false,,,,,,,,,,,,,,,,,oz
flow-n-trees-roots,,,,,,,,MEDIUM,,,,,MEDIUM,0,shopify,1,deny,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
flow-n-trees-roots,,,,,,,,LARGE,,,,,LARGE,0,shopify,3,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
flow-n-trees-roots,,,,,,,,XTRA LARGE,,,,,XTRA LARGE,0,shopify,1,deny,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
the-milkshake-club-milkshake-straws,THE MILKSHAKE CLUB - 'MILKSHAKE STRAWS',"<p><b></b></p>
<div><b>
  <div style=""display: inline !important; ""><span>
    <div style=""display: inline !important; ""><b>
      <p dir=""ltr"" style=""display: inline !important; ""><span></span></p>
    </b></div>
  </span></div>
</b></div>
<div>
  <div><b>
    <div style=""display: inline !important; ""><b>
      <p dir=""ltr"" style=""display: inline !important; ""><span>THE MILKSHAKE CLUB</span></p>
    </b></div>
  </b></div>
  <div><span class=""Apple-style-span"" style=""font-weight: 800; ""><b>
    <div style=""display: inline !important; ""><b>
      <p dir=""ltr"" style=""display: inline !important; ""><span>BY MICHAEL AFRIFA + KAYODE THOMAS</span></p>
    </b></div>
  </b></span></div>
  <div>
    <div>
      <p dir=""ltr"">Our brand ‘The Milkshake Club’ &nbsp;was founded in the summer of 2009 when we were 17. We were both friends with an interest in fashion, media and graphic design and we wanted create a brand that was unique, individual and different from everything else that was out there...</p>
      <p dir=""ltr""><span>People like what no one else has, and we love coming out with limited edition, exclusive shirts rather than mass-producing things. Once a shirt is sold out, we never produce them again. We want to create a strong brand with loyal customers who truly enjoy and appreciate what we’ve created instead of it just being another fad. </span></p>
      <p dir=""ltr""><span>Without selling out, we’ve managed to build a business, completely homegrown. We’ve done it without going down your typical route; no degree needed, no start-up loans, no investors, no help from giant stores, and little-to-no advertising. Since our involvement in Design + Make project last year, we have continued to work with </span><span>ART AGAINST KNIVES because they have given us the opportunity to showcase what the younger generation like ourselves has to offer.</span></p>
    </div>
  </div>
</div>
<div>
  <div><span class=""Apple-style-span"" style=""font-weight: 800;""><br />
  </span></div>
  <div style=""font-weight: bold; ""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
  <div style=""font-weight: bold; ""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a>&nbsp;</span></div>
</div>
",DESIGN + MAKE,T-Shirt,"",true,Title,MEDIUM,,,,,MEDIUM,0,shopify,0,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/TMC_-_Design1.jpg?v=1365676837,,false,,,,,,,,,,,,,,,,,oz
the-milkshake-club-milkshake-straws,,,,,,,,LARGE,,,,,LARGE,0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
the-milkshake-club-milkshake-straws,,,,,,,,XTRA LARGE,,,,,XTRA LARGE,0,shopify,2,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
the-milkshake-club-milkshake-spots,THE MILKSHAKE CLUB - 'MILKSHAKE SPOTS',"<p> </p>
<div>
<div style=""display: inline !important;"">
<div style=""display: inline !important;"">
<p dir=""ltr"" style=""display: inline !important;""> </p>
</div>
</div>
</div>
<div>
<div>
<div style=""display: inline !important;"">
<p dir=""ltr"" style=""display: inline !important;""><span>THE MILKSHAKE CLUB</span></p>
</div>
</div>
<div>
<div style=""display: inline !important;"">
<p dir=""ltr"" style=""display: inline !important;""><span>BY MICHAEL AFRIFA + KAYODE THOMAS</span></p>
</div>
</div>
<div>
<div>
<p dir=""ltr"">Our brand ‘The Milkshake Club’  was founded in the summer of 2009 when we were 17. We were both friends with an interest in fashion, media and graphic design and we wanted create a brand that was unique, individual and different from everything else that was out there...</p>
<p dir=""ltr""><span>People like what no one else has, and we love coming out with limited edition, exclusive shirts rather than mass-producing things. Once a shirt is sold out, we never produce them again. We want to create a strong brand with loyal customers who truly enjoy and appreciate what we’ve created instead of it just being another fad. </span></p>
<p dir=""ltr""><span>Without selling out, we’ve managed to build a business, completely homegrown. We’ve done it without going down your typical route; no degree needed, no start-up loans, no investors, no help from giant stores, and little-to-no advertising. Since our involvement in Design + Make project last year, we have continued to work with </span><span>ART AGAINST KNIVES because they have given us the opportunity to showcase what the younger generation like ourselves has to offer.</span></p>
</div>
</div>
</div>
<div>
<div><span class=""Apple-style-span"" style=""font-weight: 800;""><br> </span></div>
<div style=""font-weight: bold;""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
<div style=""font-weight: bold;""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a> </span></div>
</div>",DESIGN + MAKE,T-Shirt,"",true,Title,LARGE,,,,,LARGE,0,shopify,0,continue,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/TMC_-_Design2.jpg?v=1365676557,,false,,,,,,,,,,,,,,,,,oz
the-milkshake-club-milkshake-spots,,,,,,,,XTRA LARGE,,,,,XTRA LARGE,0,shopify,1,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-suits,WHITE COLLAR- 'SUITS',"<p> </p>
<div>
<div style=""display: inline !important;"">
<div style=""display: inline !important;"">
<b> </b>
<p dir=""ltr"" style=""display: inline !important;""> </p>
</div>
</div>
</div>
<div>
<div>
<p dir=""ltr"" style=""display: inline !important;""><b>WHITE COLLAR</b></p>
</div>
<div>
<p dir=""ltr"" style=""display: inline !important;""><b>BY KOREY DIXON</b></p>
<br> <b><span></span></b>
<p dir=""ltr"">My brand ‘White Collar’ is inspired by the the average white collar hard working person. I want to inspire people to use everyday to their full potential, I believe that people are becoming more timid and afraid to take a risk in life. By using bold designs based around the suits of playing cards, the clothing will mirror the lifestyle it is trying to promote - encouraging young people to take chances and be daring in their attitude to their lives.  White Collar is a symbol for progression - as a brand we believe you should take a chance to create a chance within your life and maybe even within the world.</p>
<span></span>
<p dir=""ltr"">I want to inspire a younger generation to become aware of their full potential and to aim bigger.  CHANCE. CHANGE. CREATION. I hope my brand is successful so that it can be an example to other young people, it will show them that you can achieve your dreams and aspirations. The company White Collar in this way, becomes a symbol of success and progression to young people in Hackney. Through the promotion of my brand I will address the problem of limited opportunities available to young people in Hackney by working with AStarz to engage and support young people, providing education, employment and training opportunities for them.</p>
</div>
</div>
<div>
<div><span class=""Apple-style-span"" style=""font-weight: 800;""><br> </span></div>
<div style=""font-weight: bold;""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
<div style=""font-weight: bold;""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a> </span></div>
</div>",DESIGN + MAKE,T-Shirt,T-shirt,true,Size,SMALL,,,,,SMALL,0,shopify,2,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/WC-1.jpg?v=1365675899,,false,,,,,,,,,,,,,,,,,oz
white-collar-suits,,,,,,,,MEDIUM,,,,,MEDIUM,0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-suits,,,,,,,,LARGE,,,,,LARGE,0,shopify,3,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-suits,,,,,,,,XTRA LARGE,,,,,"",0,shopify,1,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-crest,WHITE COLLAR- 'CREST',"<p> </p>
<div>
<div style=""display: inline !important;"">
<div style=""display: inline !important;"">
<b> </b>
<p dir=""ltr"" style=""display: inline !important;""> </p>
</div>
</div>
</div>
<div>
<div>
<p dir=""ltr"" style=""display: inline !important;""><b>WHITE COLLAR</b></p>
</div>
<div>
<p dir=""ltr"" style=""display: inline !important;""><b>BY KOREY DIXON</b></p>
<br> <b><span></span></b>
<p dir=""ltr"">My brand ‘White Collar’ is inspired by the the average white collar hard working person. I want to inspire people to use everyday to their full potential, I believe that people are becoming more timid and afraid to take a risk in life. By using bold designs based around the suits of playing cards, the clothing will mirror the lifestyle it is trying to promote - encouraging young people to take chances and be daring in their attitude to their lives.  White Collar is a symbol for progression - as a brand we believe you should take a chance to create a chance within your life and maybe even within the world.</p>
<span></span>
<p dir=""ltr""><span>I want to inspire a younger generation to become aware of their full potential and to aim bigger.  CHANCE. CHANGE. CREATION. I hope my brand is successful so that it can be an example to other young people, it will show them that you can achieve your dreams and aspirations. The company White Collar in this way, becomes a symbol of success and progression to young people in Hackney. Through the promotion of my brand I will address the problem of limited opportunities available to young people in Hackney by working with AStarz to engage and support young people, providing education, employment and training opportunities for them.</span></p>
</div>
</div>
<div>
<div><span class=""Apple-style-span"" style=""font-weight: 800;""><br> </span></div>
<div style=""font-weight: bold;""><span>SILKSCREEN PRINTED T-SHIRT</span></div>
<div style=""font-weight: bold;""><span>PRODUCED BY <a href=""http://www.mercuryclothing.com/"">MERCURY CLOTHING</a> </span></div>
</div>",DESIGN + MAKE,T-Shirt,T-shirt,true,Size,SMALL,,,,,SMALL,0,shopify,2,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/WC-2.jpg?v=1365675798,,false,,,,,,,,,,,,,,,,,oz
white-collar-crest,,,,,,,,MEDIUM,,,,,MEDIUM,0,shopify,2,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-crest,,,,,,,,LARGE,,,,,LARGE,0,shopify,2,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
white-collar-crest,,,,,,,,XTRA LARGE,,,,,XTRA LARGE,0,shopify,1,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
